image_id,feature_cluster
00001047_003,0
00001075_003,3
00001075_004,5
00001075_015,3
00001075_046,5
00001077_002,0
00001086_001,0
00001087_000,4
00001088_010,3
00001088_018,0
00001091_000,0
00001093_008,0
00001096_001,0
00001100_002,3
00001101_002,3
00001101_018,3
00001101_022,3
00001104_011,6
00001104_012,5
00001106_000,5
00001120_000,2
00001138_000,2
00001143_002,2
00001146_000,2
00001148_001,2
00001149_000,5
00001150_000,3
00001153_004,2
00001160_000,2
00001170_054,2
00001173_000,2
00001187_002,0
00001187_006,0
00001194_006,0
00001203_005,5
00001206_002,2
00001208_004,3
00001214_000,0
00001230_007,5
00001248_005,4
00001248_017,4
00001249_002,2
00001249_010,6
00001253_003,7
00001255_017,6
00001255_018,6
00001255_033,6
00001256_007,0
00001260_000,2
00001270_005,0
00001272_000,4
00001278_005,5
00001278_012,3
00001280_002,2
00001280_004,0
00001294_000,7
00001297_001,2
00001301_008,3
00001301_013,2
00001301_020,3
00001301_021,3
00001301_036,3
00001301_047,3
00001301_048,3
00001303_000,6
00001335_001,2
00001338_002,6
00001347_002,5
00001362_000,0
00001363_000,5
00001373_002,0
00001373_009,2
00001373_010,3
00001373_021,3
00001373_026,2
00001373_052,3
00001385_000,2
00001385_004,2
00001394_001,0
00001402_000,5
00001404_001,2
00001409_002,2
00001426_000,0
00001429_007,5
00001437_003,0
00001437_042,3
00001437_043,3
00001445_003,0
00001450_000,2
00001483_014,5
00001483_020,3
00001483_022,3
00001483_023,5
00001485_003,5
00001487_000,0
00001497_000,2
00001500_001,3
00001501_008,2
00001504_009,0
00001517_005,2
00001518_000,0
00001521_000,2
00001526_007,3
00001529_004,5
00001543_000,5
00001547_005,0
00001558_003,3
00001558_005,5
00001558_008,2
00001558_018,0
00001562_001,0
00001581_001,2
00001582_004,2
00001583_001,0
00001586_000,2
00001589_001,2
00001592_000,2
00001595_003,1
00001609_002,2
00001616_000,5
00001626_000,4
00001629_000,5
00001634_005,0
00001637_002,2
00001640_000,6
00001643_000,3
00001650_011,0
00001654_003,0
00001657_000,4
00001661_000,0
00001677_000,3
00001678_004,5
00001684_025,2
00001686_001,1
00001689_004,2
00001689_014,3
00001692_000,4
00001697_000,2
00001698_004,3
00001700_008,0
00001715_002,0
00001717_000,2
00001718_002,2
00001734_007,2
00001736_013,0
00001748_007,3
00001775_001,0
00001782_000,2
00001788_007,3
00001790_001,2
00001792_001,3
00001797_002,0
00001799_001,5
00001816_001,2
00001821_000,0
00001828_000,4
00001833_005,2
00001836_004,6
00001836_016,2
00001836_048,3
00001836_069,2
00001836_074,2
00001836_076,2
00001836_100,2
00001847_004,2
00001855_007,0
00001855_023,6
00001855_030,5
00001872_014,0
00001900_038,0
00001906_002,3
00001907_000,0
00001912_002,0
00001913_000,2
00001931_001,2
00001931_022,2
00001935_000,2
00001936_000,2
00001943_000,5
00001946_003,0
00001946_027,3
00001950_001,2
00001951_000,3
00001958_004,3
00001958_014,3
00001968_000,7
00001970_003,0
00001972_001,2
00001974_011,6
00001977_000,2
00001977_003,0
00001982_000,0
00001984_011,0
00001989_001,3
00001989_002,4
00001989_012,5
00001990_002,0
00001992_012,0
00001993_000,5
00001996_001,2
00001998_000,0
00002003_005,5
00002003_006,2
00002003_008,5
00002015_000,3
00002015_005,3
00002032_004,5
00002032_014,7
00002046_003,0
00002048_009,0
00002048_010,5
00002048_013,0
00002048_015,2
00002054_002,0
00002058_004,4
00002058_032,3
00002066_014,5
00002094_000,2
00002106_001,6
00002107_000,4
00002115_001,5
00002117_008,2
00002119_001,2
00002122_000,5
00002122_002,5
00002156_000,3
00002156_004,0
00002163_000,5
00002165_003,0
00002173_000,4
00002183_000,0
00002193_000,2
00002208_009,2
00002212_002,4
00002218_004,5
00002221_000,2
00002243_007,2
00002251_003,0
00002259_000,0
00002271_001,2
00002278_000,5
00002288_007,0
00002290_000,0
00002290_003,3
00002299_009,0
00002300_004,0
00002300_016,2
00002300_044,3
00002316_001,4
00002317_000,5
00002331_001,2
00002339_009,3
00002344_000,0
00002345_000,3
00002351_001,2
00002354_000,6
00002355_002,5
00002355_006,0
00002359_008,3
00002359_018,5
00002360_005,5
00002371_007,0
00002381_006,2
00002382_000,2
00002387_006,7
00002395_007,2
00002395_016,3
00002395_021,2
00002395_029,3
00002395_036,2
00002397_001,5
00002400_000,2
00002403_000,0
00002405_003,5
00002407_001,0
00002411_013,0
00002412_000,3
00002424_010,0
00002425_000,0
00002425_001,0
00002437_000,2
00002437_047,3
00002457_002,0
00002466_006,2
00002469_000,2
00002479_002,2
00002482_004,0
00002484_002,2
00002486_000,0
00002491_004,0
00002491_007,3
00002492_001,2
00002492_005,4
00002502_000,0
00002505_001,5
00002505_018,2
00002510_010,2
00002524_013,2
00002524_032,0
00002524_033,5
00002529_020,6
00002529_026,3
00002533_003,3
00002537_002,2
00002543_000,2
00002547_006,4
00002547_007,2
00002548_002,4
00002552_000,2
00002553_000,2
00002570_001,2
00002570_004,2
00002570_007,2
00002571_000,0
00002594_005,5
00002597_000,2
00002608_001,3
00002611_010,3
00002615_000,2
00002623_000,4
00002625_003,2
00002627_000,0
00002632_000,2
00002633_005,0
00002638_000,0
00002639_008,2
00002639_010,2
00002649_013,5
00002659_001,2
00002673_007,5
00002673_019,3
00002674_000,0
00002678_007,5
00002688_002,2
00002702_001,6
00002702_002,3
00002704_005,0
00002704_015,2
00002706_004,5
00002712_000,2
00002714_001,2
00002716_000,2
00002718_004,2
00002719_001,2
00002720_004,0
00002725_000,3
00002735_001,2
00002739_000,2
00002739_001,2
00002740_001,2
00002745_000,2
00002748_001,2
00002749_000,2
00002760_000,2
00002763_002,2
00002765_003,2
00002775_007,0
00002777_000,2
00002790_003,2
00002798_001,2
00002799_000,2
00002800_003,0
00002803_002,2
00002806_003,5
00002816_001,0
00002817_012,5
00002835_003,0
00002843_003,2
00002847_004,0
00002854_000,0
00002856_014,4
00002856_026,5
00002860_002,2
00002860_016,2
00002860_024,2
00002878_004,5
00002883_001,2
00002892_001,2
00002892_007,2
00002898_001,2
00002913_000,7
00002913_001,5
00002919_004,5
00002923_000,3
00002927_002,4
00002927_003,5
00002939_000,2
00002957_002,2
00002961_000,2
00002980_001,0
00002980_002,5
00002981_003,4
00002986_002,5
00003006_000,2
00003007_000,2
00003011_001,2
00003011_004,5
00003022_006,0
00003028_004,0
00003028_038,2
00003028_051,3
00003029_020,3
00003030_003,0
00003040_000,2
00003043_000,2
00003045_003,0
00003053_001,3
00003053_003,3
00003056_003,0
00003064_032,2
00003064_045,0
00003064_046,2
00003064_050,0
00003076_000,0
00003076_001,0
00003079_000,2
00003084_001,2
00003094_005,5
00003098_004,0
00003109_000,3
00003109_007,2
00003109_011,3
00003122_015,0
00003122_017,0
00003124_000,2
00003129_000,2
00003129_001,2
00003129_004,0
00003129_009,3
00003129_011,0
00003135_000,2
00003140_007,3
00003159_001,2
00003169_001,5
00003177_002,0
00003186_004,2
00003186_005,2
00003190_018,5
00003191_001,4
00003198_002,2
00003198_005,6
00003198_009,2
00003205_002,0
00003212_000,2
00003221_002,0
00003230_000,0
00003230_012,0
00003239_001,0
00003269_007,3
00003282_001,2
00003292_007,2
00003292_009,2
00003294_000,2
00003295_000,2
00003296_000,2
00003296_002,0
00003303_000,2
00003306_000,2
00003319_000,2
00003319_001,0
00003332_000,2
00003343_000,0
00003361_005,2
00003364_001,2
00003371_001,2
00003381_001,2
00003382_008,3
00003392_015,2
00003392_039,3
00003393_001,2
00003393_008,2
00003393_020,2
00003393_021,2
00003393_050,2
00003395_005,0
00003407_007,0
00003421_007,2
00003426_007,2
00003426_008,2
00003426_029,0
00003426_034,0
00003438_001,6
00003446_000,2
00003459_017,2
00003459_023,2
00003461_000,2
00003465_004,1
00003466_000,0
00003478_008,2
00003482_001,2
00003499_001,4
00003501_002,2
00003503_000,2
00003510_014,3
00003513_003,2
00003513_008,3
00003516_003,0
00003520_002,0
00003523_012,3
00003523_027,3
00003527_003,2
00003527_013,0
00003529_002,0
00003534_011,3
00003534_027,3
00003534_036,3
00003535_010,3
00003535_021,3
00003550_000,2
00003573_003,2
00003574_012,0
00003610_020,0
00003621_000,0
00003631_000,2
00003635_002,2
00003635_004,2
00003640_001,3
00003649_001,3
00003659_011,0
00003659_013,5
00003673_000,2
00003675_000,0
00003678_001,2
00003681_005,2
00003685_004,2
00003688_002,2
00003689_002,2
00003717_001,2
00003719_006,0
00003722_019,0
00003733_001,4
00003741_002,0
00003754_001,2
00003758_002,5
00003770_001,3
00003770_002,0
00003771_000,2
00003778_000,2
00003787_002,0
00003789_000,2
00003789_002,2
00003794_000,2
00003801_002,5
00003822_001,0
00003834_000,0
00003837_002,0
00003837_008,0
00003838_000,0
00003839_001,0
00003843_000,2
00003856_000,3
00003867_010,3
00003867_012,0
00003868_001,2
00003868_006,0
00003875_000,2
00003875_011,2
00003890_000,2
00003894_009,0
00003895_000,2
00003896_005,5
00003899_002,5
00003900_000,5
00003917_000,2
00003919_000,2
00003919_001,5
00003923_018,2
00003940_004,2
00003940_006,2
00003951_000,2
00003957_002,6
00003970_002,2
00003989_020,3
00003989_024,5
00003995_000,2
00003996_000,2
00003996_016,3
00004001_001,5
00004006_026,2
00004006_053,0
00004007_008,0
00004008_000,5
00004009_000,0
00004048_012,6
00004061_000,2
00004065_008,2
00004065_011,2
00004066_002,2
00004066_005,2
00004067_000,2
00004069_002,4
00004074_000,4
00004075_000,2
00004082_011,0
00004086_000,2
00004088_001,2
00004090_000,4
00004090_001,2
00004090_002,2
00004091_000,2
00004092_000,0
00004102_001,2
00004103_001,2
00004111_000,2
00004121_004,3
00004125_000,2
00004132_006,0
00004135_000,2
00004144_002,5
00004144_006,0
00004145_000,0
00004153_001,5
00004156_002,2
00004158_001,0
00004163_003,2
00004163_006,2
00004168_004,0
00004169_000,6
00004188_008,2
00004188_011,0
00004192_000,2
00004195_004,3
00004203_000,0
00004205_014,5
00004209_002,2
00004251_000,0
00004267_000,0
00004268_007,3
00004270_000,0
00004273_000,0
00004281_000,2
00004298_000,4
00004328_003,2
00004338_002,2
00004339_001,2
00004339_003,0
00004340_005,2
00004341_000,2
00004342_006,5
00004342_008,2
00004342_016,3
00004342_020,0
00004342_024,3
00004342_051,3
00004344_023,2
00004344_037,0
00004344_042,5
00004344_043,2
00004360_002,2
00004360_010,2
00004360_023,2
00004366_003,3
00004374_000,2
00004381_014,3
00004381_015,0
00004381_038,2
00004381_039,3
00004381_045,0
00004392_000,2
00004395_000,2
00004401_000,0
00004402_006,0
00004402_008,3
00004415_000,2
00004418_002,0
00004427_001,3
00004428_002,2
00004435_014,2
00004435_020,2
00004442_002,2
00004461_015,3
00004461_017,0
00004464_001,2
00004469_000,2
00004490_006,2
00004507_000,2
00004508_003,5
00004509_000,0
00004519_016,0
00004526_007,4
00004533_025,3
00004549_001,2
00004555_000,2
00004556_000,2
00004574_000,2
00004577_009,0
00004579_004,0
00004584_000,5
00004592_000,2
00004594_002,2
00004604_001,2
00004605_019,0
00004606_000,2
00004613_003,5
00004614_000,2
00004633_000,2
00004639_002,0
00004656_002,2
00004659_000,2
00004661_000,0
00004682_001,4
00004682_003,2
00004699_001,7
00004717_000,0
00004736_000,0
00004737_008,0
00004737_010,5
00004737_016,5
00004745_002,2
00004746_018,3
00004746_025,0
00004750_000,2
00004750_004,2
00004761_002,4
00004787_002,2
00004795_000,2
00004798_008,2
00004800_003,2
00004808_022,2
00004808_031,2
00004809_000,2
00004809_003,2
00004809_005,2
00004815_000,2
00004819_003,2
00004822_007,5
00004822_025,5
00004822_039,3
00004822_048,0
00004822_053,3
00004824_000,0
00004824_003,0
00004824_015,0
00004832_003,3
00004832_004,3
00004840_000,2
00004843_004,0
00004844_000,2
00004850_008,5
00004856_000,2
00004858_016,2
00004858_045,5
00004858_052,0
00004858_058,5
00004858_070,5
00004858_082,5
00004858_084,3
00004858_086,0
00004866_000,2
00004867_000,2
00004878_000,2
00004893_020,5
00004893_022,2
00004893_036,2
00004893_054,0
00004893_058,2
00004893_074,3
00004898_004,2
00004902_000,4
00004904_013,2
00004911_028,2
00004911_033,5
00004915_001,2
00004925_003,2
00004929_000,2
00004931_019,0
00004937_002,2
00004948_001,2
00004959_005,0
00004959_007,3
00004962_000,2
00004973_001,2
00004975_004,5
00004978_005,0
00004980_000,2
00004992_000,2
00004992_007,2
00004995_000,2
00004998_000,2
00005002_002,2
00005026_000,2
00005026_015,0
00005029_003,2
00005049_001,0
00005051_003,2
00005053_001,0
00005064_000,5
00005066_009,2
00005066_011,0
00005066_020,0
00005066_052,3
00005066_058,0
00005066_065,3
00005067_006,2
00005069_021,5
00005089_020,2
00005089_048,0
00005094_003,3
00005107_000,2
00005119_002,2
00005132_000,2
00005138_012,0
00005140_001,3
00005147_000,2
00005171_000,2
00005177_000,2
00005191_002,0
00005200_001,2
00005200_007,2
00005202_000,2
00005204_001,6
00005215_000,0
00005218_002,2
00005218_012,2
00005218_013,2
00005218_020,2
00005220_005,2
00005220_007,2
00005222_000,2
00005225_000,0
00005226_001,5
00005236_000,2
00005243_000,0
00005248_001,2
00005254_008,2
00005259_003,2
00005262_002,5
00005267_001,0
00005270_001,0
00005274_001,5
00005288_003,3
00005295_000,2
00005298_005,6
00005298_013,5
00005306_000,0
00005311_005,2
00005314_000,2
00005315_000,2
00005361_000,2
00005365_002,3
00005372_005,2
00005372_009,2
00005378_000,2
00005378_001,2
00005379_000,2
00005391_000,0
00005391_002,3
00005395_007,6
00005400_006,2
00005400_008,2
00005401_007,5
00005403_000,2
00005403_027,2
00005418_009,2
00005421_001,5
00005434_001,2
00005448_001,2
00005448_004,2
00005448_008,2
00005448_019,2
00005456_000,3
00005456_008,0
00005460_000,2
00005460_011,2
00005476_002,2
00005478_000,2
00005483_001,2
00005493_001,2
00005496_000,2
00005499_003,2
00005502_015,2
00005504_000,2
00005504_011,2
00005504_013,2
00005515_005,2
00005520_010,6
00005525_000,2
00005532_024,3
00005532_046,0
00005537_012,2
00005538_001,2
00005562_001,0
00005586_000,2
00005586_001,5
00005595_000,2
00005602_003,5
00005612_000,0
00005638_003,3
00005641_001,2
00005643_001,2
00005646_019,3
00005665_001,0
00005671_000,2
00005680_003,2
00005681_018,3
00005681_032,3
00005682_006,2
00005682_009,2
00005682_011,2
00005684_000,2
00005694_004,2
00005698_001,2
00005701_000,2
00005712_002,0
00005712_015,2
00005712_020,2
00005712_024,3
00005721_003,2
00005722_000,2
00005722_004,2
00005722_014,0
00005723_007,2
00005726_007,2
00005741_002,0
00005742_001,2
00005742_009,2
00005746_003,2
00005749_000,1
00005750_000,2
00005750_020,4
00005759_000,2
00005759_005,0
00005759_007,2
00005759_010,2
00005763_000,3
00005768_007,5
00005770_001,2
00005773_003,2
00005778_031,0
00005797_000,3
00005801_002,0
00005801_005,6
00005807_001,0
00005810_000,2
00005815_005,2
00005832_035,2
00005835_004,2
00005845_002,2
00005852_004,0
00005853_006,2
00005876_000,2
00005889_000,0
00005892_017,5
00005895_024,5
00005908_000,2
00005909_003,0
00005916_004,2
00005920_005,2
00005936_007,2
00005944_000,2
00005963_023,2
00005966_010,0
00005970_006,2
00005982_002,4
00005982_010,3
00005986_004,2
00005986_009,2
00005994_000,5
00006008_001,0
00006011_003,5
00006015_002,2
00006024_007,2
00006024_009,2
00006024_010,3
00006027_000,6
00006035_003,2
00006039_001,5
00006040_004,2
00006040_008,5
00006055_003,5
00006058_002,2
00006098_001,2
00006102_003,0
00006102_007,2
00006102_022,0
00006121_000,0
00006144_001,0
00006159_003,0
00006160_001,2
00006180_001,1
00006192_002,0
00006195_002,2
00006195_007,2
00006199_010,2
00006199_016,2
00006210_005,0
00006212_005,2
00006215_000,2
00006215_004,2
00006237_011,2
00006237_018,2
00006249_003,2
00006255_006,2
00006258_000,2
00006269_000,2
00006270_006,5
00006271_014,2
00006271_018,2
00006271_026,2
00006271_037,2
00006271_066,2
00006271_095,2
00006271_096,2
00006281_002,2
00006294_006,1
00006296_006,2
00006296_012,2
00006296_029,2
00006298_004,0
00006300_000,2
00006302_000,2
00006304_011,3
00006315_008,2
00006318_006,2
00006323_009,2
00006329_014,2
00006332_006,2
00006338_002,2
00006338_003,2
00006344_002,6
00006351_000,0
00006352_000,2
00006370_000,2
00006372_002,2
00006372_005,2
00006383_009,2
00006391_000,6
00006406_000,2
00006409_000,5
00006411_008,2
00006413_002,2
00006413_003,2
00006417_000,0
00006424_000,2
00006425_006,2
00006434_003,2
00006439_000,2
00006446_004,2
00006449_001,2
00006450_010,0
00006462_010,2
00006468_003,2
00006479_001,5
00006481_009,2
00006481_019,2
00006481_024,2
00006484_000,2
00006499_007,0
00006500_002,0
00006504_005,6
00006504_006,6
00006514_000,2
00006517_003,2
00006519_005,2
00006519_009,2
00006519_024,2
00006519_026,2
00006522_001,2
00006522_005,0
00006525_000,2
00006527_001,2
00006535_002,2
00006537_000,2
00006569_000,2
00006574_000,2
00006583_003,2
00006588_005,2
00006593_000,2
00006605_018,2
00006618_000,0
00006624_002,0
00006626_005,2
00006626_006,0
00006632_004,5
00006637_000,2
00006642_014,0
00006642_043,2
00006653_000,2
00006653_006,2
00006660_000,2
00006667_001,2
00006667_004,2
00006670_000,2
00006673_000,2
00006676_001,2
00006681_000,2
00006684_000,0
00006691_000,2
00006695_002,2
00006695_004,2
00006706_001,2
00006713_005,2
00006718_000,2
00006720_005,2
00006720_006,2
00006720_015,2
00006725_002,5
00006725_004,7
00006727_001,2
00006731_002,2
00006736_009,2
00006738_006,5
00006739_004,0
00006741_000,0
00006752_003,2
00006752_006,2
00006754_003,2
00006762_004,0
00006763_002,2
00006767_001,0
00006769_003,2
00006769_010,5
00006787_000,2
00006788_002,2
00006794_004,2
00006802_000,2
00006808_035,2
00006818_007,2
00006821_005,2
00006841_002,2
00006841_007,2
00006843_000,2
00006854_000,2
00006856_006,2
00006866_001,0
00006875_008,3
00006875_016,5
00006903_001,5
00006905_001,2
00006906_020,2
00006906_021,0
00006925_004,2
00006925_007,2
00006926_010,0
00006936_003,0
00006936_004,0
00006941_007,2
00006942_000,2
00006944_002,2
00006948_000,2
00006949_001,2
00006952_006,2
00006952_008,2
00006952_011,0
00006953_003,2
00006959_002,3
00006966_000,4
00006968_004,2
00006970_004,0
00006973_002,2
00006973_006,2
00006973_008,2
00006980_000,2
00006981_007,0
00006981_012,2
00006985_006,0
00006992_000,2
00006996_004,2
00007001_000,0
00007007_001,2
00007007_016,2
00007008_004,0
00007018_007,2
00007018_013,3
00007018_027,0
00007026_000,2
00007034_012,4
00007034_016,4
00007034_021,3
00007034_039,3
00007034_048,3
00007040_000,3
00007056_007,5
00007058_001,0
00007060_020,0
00007061_006,2
00007075_001,2
00007078_002,2
00007090_004,0
00007093_006,2
00007093_020,0
00007098_006,2
00007109_006,5
00007109_013,3
00007109_014,3
00007109_021,0
00007113_000,2
00007120_015,5
00007121_003,0
00007124_000,2
00007126_000,2
00007131_000,2
00007133_008,2
00007138_011,0
00007144_000,2
00007151_000,0
00007154_001,0
00007157_011,5
00007157_032,2
00007161_000,2
00007168_001,0
00007169_003,2
00007179_001,0
00007193_007,0
00007193_012,0
00007195_003,2
00007207_003,0
00007212_006,2
00007216_000,2
00007221_000,2
00007229_000,0
00007244_001,2
00007245_001,2
00007258_000,2
00007273_000,2
00007285_004,2
00007286_005,2
00007286_013,2
00007298_002,5
00007302_000,2
00007304_002,4
00007316_000,2
00007322_012,2
00007322_015,2
00007322_016,2
00007322_019,2
00007322_021,4
00007322_030,4
00007328_012,2
00007330_001,2
00007335_000,2
00007339_003,0
00007340_000,2
00007340_005,0
00007352_000,2
00007354_020,2
00007356_002,0
00007372_000,0
00007374_001,2
00007390_012,2
00007395_000,0
00007405_002,2
00007406_003,2
00007407_001,0
00007410_000,2
00007417_005,2
00007428_006,2
00007430_002,2
00007438_000,1
00007441_000,2
00007442_008,6
00007442_016,2
00007444_003,0
00007460_000,2
00007482_014,2
00007483_000,0
00007485_000,0
00007491_000,2
00007498_000,2
00007500_001,6
00007501_003,2
00007506_001,2
00007506_007,2
00007519_003,2
00007520_004,2
00007523_013,0
00007526_022,0
00007526_029,3
00007526_034,3
00007531_000,0
00007534_004,2
00007540_000,0
00007548_000,2
00007551_007,2
00007558_006,2
00007564_002,0
00007566_001,2
00007576_015,2
00007589_001,2
00007620_001,4
00007620_009,3
00007621_003,2
00007622_000,5
00007624_014,2
00007624_020,2
00007658_002,2
00007658_004,2
00007666_000,6
00007668_008,2
00007670_002,2
00007670_008,5
00007670_014,5
00007676_012,2
00007678_001,0
00007679_010,5
00007712_002,0
00007716_003,0
00007717_001,2
00007728_001,2
00007728_016,3
00007729_000,0
00007729_003,2
00007730_001,0
00007731_004,5
00007735_027,3
00007735_041,2
00007745_002,0
00007775_000,2
00007779_004,2
00007781_000,0
00007803_000,5
00007806_000,0
00007808_001,2
00007810_006,2
00007810_008,0
00007816_001,3
00007816_006,5
00007816_007,3
00007827_000,2
00007830_002,1
00007830_003,5
00007857_001,2
00007861_000,2
00007864_002,2
00007864_011,0
00007870_002,0
00007882_002,5
00007885_004,2
00007886_012,0
00007890_000,0
00007903_002,2
00007906_000,2
00007916_005,2
00007917_001,0
00007920_004,2
00007932_011,2
00007945_000,0
00007955_000,0
00007963_002,2
00007969_000,0
00007969_001,5
00007972_000,0
00007976_000,2
00007980_001,0
00007992_002,2
00008002_000,2
00008004_009,2
00008005_001,0
00008007_001,3
00008008_017,3
00008008_025,3
00008008_030,3
00008008_031,3
00008008_053,7
00008008_054,5
00008008_059,0
00008008_065,7
00008008_068,7
00008009_000,0
00008009_040,2
00008010_000,2
00008013_001,2
00008015_000,3
00008024_000,0
00008036_000,2
00008036_004,2
00008040_003,0
00008046_015,5
00008051_003,0
00008051_012,2
00008051_014,2
00008051_016,2
00008056_003,2
00008056_009,0
00008062_001,0
00008062_006,0
00008067_006,2
00008067_018,2
00008067_026,2
00008081_000,2
00008081_006,2
00008084_002,5
00008095_003,2
00008105_001,2
00008111_000,2
00008127_001,0
00008128_000,2
00008142_003,2
00008147_010,2
00008154_000,0
00008168_009,0
00008177_000,5
00008183_000,0
00008188_001,2
00008190_006,3
00008195_000,2
00008198_003,2
00008211_000,0
00008216_002,0
00008230_018,0
00008230_022,5
00008232_012,2
00008233_003,2
00008253_001,0
00008258_001,2
00008267_000,2
00008276_001,2
00008287_002,2
00008291_000,0
00008295_009,3
00008295_012,4
00008295_021,2
00008297_001,2
00008303_000,0
00008304_007,7
00008309_003,0
00008309_015,3
00008322_000,2
00008328_005,0
00008335_000,0
00008339_001,2
00008342_013,2
00008343_000,0
00008346_000,5
00008348_001,0
00008357_000,0
00008381_003,2
00008385_000,0
00008387_002,2
00008391_000,0
00008397_003,2
00008399_006,0
00008401_004,2
00008402_005,2
00008405_000,0
00008415_000,0
00008426_001,5
00008433_001,2
00008438_000,5
00008445_003,5
00008451_004,5
00008451_012,2
00008451_016,2
00008463_001,6
00008466_000,2
00008468_022,5
00008468_065,0
00008470_008,2
00008480_000,0
00008489_003,2
00008498_000,2
00008499_004,2
00008515_005,5
00008518_001,2
00008518_002,5
00008522_002,2
00008522_017,2
00008522_025,2
00008535_012,0
00008551_000,0
00008554_010,0
00008556_000,0
00008565_000,6
00008566_009,2
00008566_012,2
00008570_002,2
00008573_000,2
00008584_000,2
00008592_002,2
00008626_019,2
00008626_024,0
00008626_029,0
00008636_003,2
00008675_005,0
00008678_005,5
00008687_000,0
00008690_000,0
00008691_006,5
00008694_002,5
00008697_002,0
00008701_004,0
00008701_011,2
00008701_035,2
00008701_049,2
00008707_002,2
00008708_008,0
00008708_010,5
00008713_002,3
00008716_000,5
00008720_000,0
00008724_000,5
00008727_013,5
00008729_002,2
00008734_001,6
00008741_007,5
00008748_006,2
00008748_012,7
00008749_002,2
00008756_000,2
00008763_001,2
00008763_004,2
00008769_000,0
00008774_002,2
00008777_002,0
00008796_000,2
00008797_000,0
00008802_008,0
00008806_009,5
00008835_002,2
00008841_001,5
00008841_016,3
00008841_017,5
00008841_028,3
00008841_051,3
00008841_054,0
00008842_003,2
00008860_004,2
00008865_000,0
00008866_004,0
00008866_005,2
00008871_001,2
00008885_009,0
00008888_014,0
00008888_047,5
00008888_050,0
00008897_001,0
00008903_000,5
00008911_006,2
00008911_022,2
00008911_028,2
00008925_001,0
00008944_003,3
00008962_001,6
00008964_002,2
00009006_000,0
00009012_008,0
00009016_003,0
00009021_003,0
00009024_000,0
00009026_000,2
00009043_000,0
00009051_002,5
00009053_000,0
00009067_003,2
00009067_005,2
00009079_001,2
00009101_000,2
00009107_004,3
00009138_000,2
00009138_004,2
00009138_022,2
00009140_002,0
00009147_000,2
00009156_000,0
00009161_000,0
00009189_007,5
00009193_001,2
00009218_000,2
00009218_018,3
00009218_030,2
00009225_000,0
00009229_020,3
00009231_004,0
